kecamatan,Tanaman,luas_panen_ha,total_produksi_ton,produktivitas_kuintal_ha
Mojo,Padi,718.6393359960061,4167.5741006671815,57.9925686212415
Mojo,Kedelai,0.03992647392547542,0.05259860849145943,13.173867692307894
Mojo,Kacang Tanah,10.013139381836337,17.729381390198796,17.706116647451836
Mojo,Ubi Jalar,11.316003267825534,332.56297722053284,293.8873110492108
Mojo,Ketela Pohon,13.717895883447556,390.7966395376562,284.8808905228707
Semen,Padi,1079.5111407888169,6260.362390959016,57.9925686212415
Semen,Kedelai,0.05997594517314936,0.0790115166432182,13.173867692307898
Semen,Kacang Tanah,15.041335723687196,26.632364485708987,17.706116647451836
Semen,Ubi Jalar,16.99844551354786,499.56274439931013,293.8873110492108
Semen,Ketela Pohon,20.606472110016792,587.0390125236282,284.8808905228707
Ngadiluwih,Padi,900.2393409885174,5220.719175781782,57.992568621241496
Ngadiluwih,Kedelai,0.050015885263014564,0.06589026549686063,13.173867692307898
Ngadiluwih,Kacang Tanah,12.543457540961285,22.20959223826199,17.70611664745184
Ngadiluwih,Ubi Jalar,14.175554849543866,416.60156973630467,293.8873110492108
Ngadiluwih,Ketela Pohon,17.18440521036627,489.5508659435002,284.8808905228707
Kras,Padi,1700.365858711932,9860.858374256797,57.99256862124152
Kras,Kedelai,0.09446965914764216,0.12445307905484622,13.173867692307898
Kras,Kacang Tanah,23.691996096763944,41.9493246500276,17.706116647451836
Kras,Ubi Jalar,26.774690237371214,786.8741718036581,293.8873110492108
Kras,Ketela Pohon,32.457786048200425,924.6602993812145,284.8808905228707
Ringinrejo,Padi,1233.9487518721917,7155.985766804339,57.9925686212415
Ringinrejo,Kedelai,0.06855625652430444,0.09031510529311067,13.173867692307894
Ringinrejo,Kacang Tanah,17.193187491490036,30.442458326583242,17.706116647451836
Ringinrejo,Ubi Jalar,19.43028638859892,571.0314619661417,293.8873110492108
Ringinrejo,Ketela Pohon,23.55448645213997,671.0223076294527,284.8808905228707
Kandat,Padi,1539.7197004493262,8929.230038578497,57.9925686212415
Kandat,Kedelai,0.08554441065674216,0.11269507478083748,13.173867692307898
Kandat,Kacang Tanah,21.453637725230337,37.98606120751016,17.706116647451836
Kandat,Ubi Jalar,24.245086915081924,712.5323399627831,293.8873110492108
Kandat,Ketela Pohon,29.39125856669541,837.3007914068141,284.88089052287074
Wates,Padi,2615.3504992511234,15167.089329641902,57.99256862124152
Wates,Kedelai,0.14530477011755094,0.19142258165898302,13.173867692307898
Wates,Kacang Tanah,36.440906821585806,64.52269469219216,17.706116647451836
Wates,Ubi Jalar,41.18243089910589,1210.2993879408161,293.8873110492108
Wates,Ketela Pohon,49.923659964598556,1422.2296708875824,284.8808905228707
Ngancar,Padi,1170.3111432850724,6786.934928516316,57.9925686212415
Ngancar,Kedelai,0.06502065084191894,0.0856573451459188,13.173867692307894
Ngancar,Kacang Tanah,16.30649480324967,28.872469909740584,17.706116647451836
Ngancar,Ubi Jalar,18.428221304407025,541.582040657196,293.8873110492108
Ngancar,Ketela Pohon,22.339726773476148,636.4161257265501,284.8808905228707
Plosoklaten,Padi,1670.8752596105842,9689.834815050152,57.9925686212415
Plosoklaten,Kedelai,0.09283120773385375,0.12229460484029389,13.173867692307898
Plosoklaten,Kacang Tanah,23.281089729042797,41.22176904222247,17.70611664745184
Plosoklaten,Ubi Jalar,26.310318612989605,773.2268790019516,293.8873110492108
Plosoklaten,Ketela Pohon,31.8948486361367,908.6232882554792,284.88089052287074
Gurah,Padi,1763.2273989016478,10225.408592565698,57.9925686212415
Gurah,Kedelai,0.09796214768755956,0.12905403724902356,13.173867692307898
Gurah,Kacang Tanah,24.567875459537966,43.50016686666486,17.706116647451836
Gurah,Ubi Jalar,27.764535015658332,815.9644538283485,293.8873110492108
Gurah,Ketela Pohon,33.65773158444152,958.8444546755452,284.8808905228707
Puncu,Padi,578.1709560659012,3352.9618844460583,57.9925686212415
Puncu,Kedelai,0.032122271138746425,0.04231745499582859,13.173867692307898
Puncu,Kacang Tanah,8.055927472427722,14.263919153021709,17.706116647451836
Puncu,Ubi Jalar,9.1041278990605,267.5587667702991,293.8873110492107
Puncu,Ketela Pohon,11.036536104933509,314.40982338612724,284.8808905228707
Kepung,Padi,1828.417144283575,10603.460670811965,57.9925686212415
Kepung,Kedelai,0.10158398765488132,0.13382540130224452,13.173867692307898
Kepung,Kacang Tanah,25.476194798711028,45.10844768391832,17.706116647451836
Kepung,Ubi Jalar,28.791040711659786,846.132153705805,293.8873110492107
Kepung,Ketela Pohon,34.902119547950804,994.2946897955918,284.8808905228707
Kandangan,Padi,1389.1624313529705,8056.109762628784,57.9925686212415
Kandangan,Kedelai,0.07717968501792764,0.10167549589601767,13.173867692307894
Kandangan,Kacang Tanah,19.355852584759223,34.27169836766289,17.706116647451836
Kandangan,Ubi Jalar,21.874347569554757,642.8593188172287,293.8873110492108
Kandangan,Ketela Pohon,26.517314936685878,755.4276293438494,284.8808905228707
Pare,Padi,1182.7282376435348,6858.944848182273,57.9925686212415
Pare,Kedelai,0.06571052512140879,0.08656617639415137,13.173867692307898
Pare,Kacang Tanah,16.479508010711207,29.178809113026958,17.706116647451836
Pare,Ubi Jalar,18.62374619888349,547.328269205283,293.88731104921084
Pare,Ketela Pohon,22.57675305223982,643.168551463702,284.88089052287074
Badas,Padi,1692.6051747378933,9815.852174465574,57.992568621241496
Badas,Kedelai,0.094038487722961,0.12388505952470087,13.173867692307898
Badas,Kacang Tanah,23.583862842100483,41.75786264797362,17.706116647451836
Badas,Ubi Jalar,26.652487178323423,783.2827789611038,293.8873110492108
Badas,Ketela Pohon,32.30964462397313,920.4400332954947,284.8808905228707
Kunjang,Padi,1458.2325187219171,8456.664940770663,57.99256862124152
Kunjang,Kedelai,0.08101711069758998,0.1067308697143113,13.173867692307894
Kunjang,Kacang Tanah,20.318238551264013,35.97571018594334,17.706116647451836
Kunjang,Ubi Jalar,22.961954795080107,674.8227151159624,293.8873110492108
Kunjang,Ketela Pohon,27.835773612308806,792.9879975067558,284.88089052287074
Plemahan,Padi,2484.194940089865,14406.484553170245,57.99256862124152
Plemahan,Kedelai,0.13801797304043933,0.18182305159952658,13.173867692307894
Plemahan,Kacang Tanah,34.61345481777334,61.286986857479846,17.706116647451836
Plemahan,Ubi Jalar,39.117199201198204,1149.6048489016475,293.8873110492107
Plemahan,Ketela Pohon,47.42006989515726,1350.9071740389172,284.8808905228707
Purwoasri,Padi,2155.9180079880184,12502.722302001544,57.9925686212415
Purwoasri,Kedelai,0.11977942177642628,0.1577958254743783,13.173867692307894
Purwoasri,Kacang Tanah,30.03941814550901,53.18814417059639,17.706116647451836
Purwoasri,Ubi Jalar,33.94800980347661,997.6889316615986,293.8873110492108
Purwoasri,Ketela Pohon,41.15368765034267,1172.3899186129686,284.8808905228707
Papar,Padi,1330.1812331502747,7714.062644215495,57.9925686212415
Papar,Kedelai,0.07390278219035083,0.09735854746691303,13.173867692307898
Papar,Kacang Tanah,18.534039849316933,32.81658715205263,17.706116647451836
Papar,Ubi Jalar,20.94560432079154,615.5647332138157,293.88731104921084
Papar,Ketela Pohon,25.391440112558435,723.3536070923786,284.8808905228707
Pagu,Padi,1093.4803719420868,6341.373550583216,57.9925686212415
Pagu,Kedelai,0.060752053737575445,0.08003395179747984,13.173867692307898
Pagu,Kacang Tanah,15.235975582081421,26.976996089406153,17.706116647451836
Pagu,Ubi Jalar,17.218411019833884,506.02725151590795,293.88731104921084
